# taps installed F1
[MHB] F100 pc=40885EFC slot_hits=0 super_hits=0
[MHB] F200 pc=408469C6 slot_hits=0 super_hits=0
[MHB] F300 pc=40847360 slot_hits=0 super_hits=0
[MHB] F400 pc=40814926 slot_hits=0 super_hits=0
[slot] F400 pc=40805E86 addr=FEFFFFFC data=00000078 mask=000000FF
[slot] F400 pc=40805FAC addr=FEFFFFFC data=00000078 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFB0 data=00000000 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFB4 data=000000FF mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFB8 data=000000C0 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFBC data=00000014 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFC0 data=00000000 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFC4 data=00000000 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFC8 data=00000040 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFCC data=00000000 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFD0 data=000000D1 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFD4 data=00000062 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFD8 data=00000096 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFDC data=00000064 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFE0 data=00000003 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFE4 data=00000001 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFE8 data=0000005A mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFEC data=00000093 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFF0 data=0000002B mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFF4 data=000000C7 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFF8 data=00000000 mask=000000FF
[slot] F400 pc=40805A38 addr=FEFFFFFC data=00000078 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0000 data=00000001 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0004 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0008 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF000C data=000000A8 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0010 data=00000080 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0014 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0018 data=00000007 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF001C data=000000FC mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0020 data=00000081 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0024 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0028 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF002C data=00000020 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0030 data=00000082 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0034 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0038 data=00000006 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF003C data=00000070 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0040 data=00000083 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0044 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0048 data=00000002 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF004C data=00000098 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0050 data=00000084 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0054 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0058 data=00000009 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF005C data=00000064 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0060 data=00000085 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0064 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0068 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF006C data=000000D0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0070 data=00000086 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0074 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0078 data=00000005 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF007C data=00000094 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0080 data=00000087 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0084 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0088 data=00000003 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF008C data=00000048 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0090 data=00000088 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0094 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0098 data=00000007 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF009C data=00000024 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00A0 data=0000008C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00A4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00A8 data=00000008 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00AC data=00000094 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00B0 data=00000090 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00B4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00B8 data=00000008 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00BC data=00000038 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00C0 data=00000091 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00C4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00C8 data=00000004 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00CC data=0000005C mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00D0 data=00000092 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00D4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00D8 data=00000006 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00DC data=000000B4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00E0 data=00000093 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00E4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00E8 data=00000002 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00EC data=000000D4 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00F0 data=00000094 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00F4 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00F8 data=00000009 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF00FC data=000000A0 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0100 data=00000095 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0104 data=00000000 mask=000000FF
[slot] F400 pc=40806074 addr=FEFF0108 data=00000005 mask=000000FF
